trade_year,trade_flow,partner_code,commodities_code,quantity,units,weight_kg,trade_value
2023,Import,616,710813,2.006,kg,2.006,135541.323
2023,Import,699,710813,0.054,kg,0.054,2651.238
2023,Import,702,710813,68.009,kg,68.009,1127094.165
2023,Import,703,710813,2.017,kg,2.017,92117.99
2023,Import,724,710813,0.424,kg,0.424,20740.399
2023,Import,764,710813,0.05,kg,0.05,2465.44
2023,Import,826,710813,79.969,kg,79.969,6157199.447
2023,Import,842,710813,878.222,kg,878.222,48688291.536
2023,Export,156,710811,6.241,kg,6.241,417570.475
2023,Export,251,710811,45.01,kg,45.01,2229798.725
2023,Export,276,710811,20.438,kg,20.438,619517.345
2023,Export,380,710811,3.412,kg,3.412,267764.983
2023,Export,826,710811,45.12,kg,45.12,3015215.898
2023,Export,36,710812,1214.003,kg,1214.003,77880574.566
2023,Export,40,710812,7992.059,kg,7992.059,499846777.342
2023,Export,56,710812,590.063,kg,590.063,36525657.358
2023,Export,208,710812,5.035,kg,5.035,233268.855
2023,Export,276,710812,24667.072,kg,24667.072,1551133159.469
2023,Export,380,710812,34123.042,kg,34123.042,2082915836.865
2023,Export,528,710812,2.387,kg,2.387,30624.409
2023,Export,642,710812,5.246,kg,5.246,229941.179
2023,Export,703,710812,1.028,kg,1.028,66619.159
2023,Export,724,710812,265.012,kg,265.012,15619463.037
2023,Export,8,710813,0.015,kg,0.015,931.215
2023,Export,40,710813,15194.049,kg,15194.049,966488669.746
2023,Export,124,710813,825.203,kg,825.203,51827261.152
2023,Export,208,710813,25.007,kg,25.007,1489594.998
2023,Export,251,710813,12070.124,kg,12070.124,684667793.371
2023,Export,268,710813,4.344,kg,4.344,23796.61
2023,Export,276,710813,21652.141,kg,21652.141,1346947069.134
2023,Export,300,710813,15.323,kg,15.323,946435.076
2023,Export,348,710813,91.162,kg,91.162,5818960.275
2023,Export,376,710813,4.019,kg,4.019,247093.562
2023,Export,380,710813,12614.269,kg,12614.269,653502818.245
2023,Export,392,710813,62.106,kg,62.106,1797386.659
2023,Export,410,710813,5.529,kg,5.529,242328.455
2023,Export,414,710813,1210.157,kg,1210.157,76605575.166
2023,Export,442,710813,39.6,kg,39.6,2415785.878
