reporter_code,trade_year,trade_flow,partner_code,commodities_code,trade_value
156,2020,Import,0,7108,11414919164.0
156,2020,Export,0,7108,3545015055.0
191,2020,Import,0,7108,35632411.0
191,2020,Export,0,7108,75666092.0
192,2020,Import,0,7108,4937.74
196,2020,Import,0,7108,5200483.493
196,2020,Export,0,7108,13143066.621
203,2020,Import,0,7108,331331474.0
233,2020,Export,0,7108,117408897.61
251,2020,Import,0,7108,1233186586.334
251,2020,Export,0,7108,1369338383.785
258,2020,Export,0,7108,672746.235
268,2020,Import,0,7108,627.83
268,2020,Export,0,7108,97571530.01
300,2020,Export,0,7108,30894903.239
392,2020,Export,0,7108,8324742799.706
417,2020,Import,0,7108,287221.0
417,2020,Export,0,7108,986997530.0
428,2020,Import,0,7108,15545272.93
428,2020,Export,0,7108,7674536.669
440,2020,Import,0,7108,11610450.0
440,2020,Export,0,7108,644454.0
442,2020,Import,0,7108,102801125.365
442,2020,Export,0,7108,52975663.428
470,2020,Import,0,7108,4498404.167
470,2020,Export,0,7108,2176572.124
498,2020,Import,0,7108,1592.0
498,2020,Export,0,7108,613103.0
499,2020,Import,0,7108,15320.238
504,2020,Export,0,7108,45327796.716
554,2020,Export,0,7108,334265455.4
586,2020,Import,0,7108,6755858.653
616,2020,Export,0,7108,167155463.0
620,2020,Export,0,7108,223260941.357
643,2020,Import,0,7108,23919091.18
688,2020,Import,0,7108,35084379.0
688,2020,Export,0,7108,17082184.0
703,2020,Export,0,7108,76548928.526
705,2020,Import,0,7108,110281127.02
705,2020,Export,0,7108,32968171.94
716,2020,Import,0,7108,1673.07
716,2020,Export,0,7108,982257743.43
792,2020,Import,0,7108,25183791731.0
792,2020,Export,0,7108,2779978131.0
804,2020,Import,0,7108,90113141.71
804,2020,Export,0,7108,40392231.49
807,2020,Export,0,7108,831099.32
860,2020,Import,0,7108,25286645.0
31,2021,Export,0,7108,202642257.0
48,2021,Import,0,7108,255459989.41
48,2021,Export,0,7108,201421612.978
51,2021,Import,0,7108,90039296.63
51,2021,Export,0,7108,133804489.66
100,2021,Import,0,7108,41151858.689
100,2021,Export,0,7108,23808998.492
124,2021,Export,0,7108,15242501524.095
156,2021,Import,0,7108,47279366447.0
191,2021,Import,0,7108,65515596.0
191,2021,Export,0,7108,98653279.0
196,2021,Import,0,7108,22542196.477
196,2021,Export,0,7108,19749662.63
208,2021,Import,0,7108,43806746.636
208,2021,Export,0,7108,19768026.693
233,2021,Import,0,7108,188572099.64
233,2021,Export,0,7108,135102364.5
251,2021,Import,0,7108,1545252297.821
258,2021,Export,0,7108,448656.372
268,2021,Export,0,7108,64220323.31
300,2021,Import,0,7108,13637628.54
